Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",155,671,597,163,96,35,3,29,93,97,65,18,81,4,4,0,,31,7,0.272838,0.0966384,0.120087,0.804737,0.346136,0.487412,0.348934,0.833548,0.214574,5.63326,0.272142,-0.0712793,2.35389,98.7739,19.5353,126.096,2.28261,1.58291,22.908889293670654,2.3977222442626953,4.95146,6.28000020980835,,,,,,,953.3,6.15032258,953.3,6.15032258,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Geraldo Perdomo","ARI",157,678,577,156,107,30,4,15,93,76,82,1,90,8,4,6,,23,7,0.270391,0.121398,0.13339,0.910098,0.366402,0.416402,0.344835,0.782804,0.14601,5.72059,0.295756,0.333198,0.576405,97.5373,17.4818,120.824,0.909603,0.441209,17.631544053554535,7.700468301773071,4.89738,76.7699966430664,,,,,,,841.5,5.359872611,841.5,5.359872611,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Alejandro Kirk","TOR",124,492,434,118,83,20,0,14,51,62,49,2,61,4,3,0,,1,0,0.270968,0.100566,0.12394,0.811409,0.348529,0.417627,0.334807,0.766156,0.146659,1.74824,0.284962,-1.31233,-0.751768,66.7612,8.68111,115.784,-2.0641,5.80235,7.080147743225098,14.473487854003906,4.77984,160.25,,,,,,,577.3,4.655645161,577.3,4.655645161,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Elly De La Cruz","CIN",155,668,594,156,93,32,6,25,96,90,65,6,174,4,4,1,,40,10,0.263071,0.0969579,0.26035,0.372414,0.33715,0.462951,0.342085,0.800101,0.199881,7.40671,0.329174,1.67572,2.85092,94.6528,15.7409,115.044,4.52664,0.941294,16.434800148010254,7.848392903804779,4.75713,8.449999809265137,,,,,,,896.6,5.784516129,896.6,5.784516129,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Mookie Betts","LAD",149,643,562,153,97,30,3,23,93,88,71,3,76,5,4,1,,9,2,0.272632,0.111078,0.118707,0.935728,0.357471,0.460153,0.353582,0.817624,0.187521,4.46189,0.278538,-0.222928,-0.254268,97.1271,21.156,128.309,-0.477196,-2.95196,21.095765948295593,3.936929225921631,4.74912,60.58000183105469,,,,,,,854.6,5.735570469,854.6,5.735570469,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Vladimir Guerrero Jr.","TOR",156,675,586,173,107,34,0,31,96,102,77,9,91,6,4,0,,5,2,0.295034,0.114313,0.134798,0.848028,0.380463,0.514448,0.380706,0.894912,0.219414,2.75894,0.302377,-0.396351,-0.966958,116.798,37.0644,147.401,-1.36331,-1.2858,36.33687472343445,-13.53471577167511,4.70998,18.049999237060547,,,,,,,1025.7,6.575,1025.7,6.575,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Junior Caminero","TBR",153,661,604,163,94,29,1,39,88,115,48,1,126,4,4,0,,6,2,0.269884,0.0725932,0.191005,0.380059,0.32603,0.51343,0.357102,0.83946,0.243546,3.53731,0.28038,-0.0598326,-0.376688,101.725,23.6347,129.656,-0.436521,-1.49552,22.663431584835052,0.26852595806121826,4.67425,16.479999542236328,,,,,,,927,6.058823529,927,6.058823529,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Wyatt Langford","TEX",148,640,555,144,85,29,3,27,90,86,74,3,145,6,4,1,,21,6,0.259786,0.115524,0.226081,0.510984,0.350162,0.467097,0.352216,0.817259,0.207311,5.46198,0.302735,0.534962,0.804475,95.9733,20.3495,128.578,1.33944,4.61634,22.89673614501953,0.6410365104675293,4.66272,37.75,,,,,,,869.5,5.875,869.5,5.875,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Kyle Tucker","LAD",149,643,546,146,85,28,2,31,100,95,87,6,95,4,4,2,,22,4,0.266621,0.135415,0.147881,0.9157,0.368952,0.494807,0.369631,0.863759,0.228186,5.40603,0.270494,0.0245188,1.63343,105.505,29.5341,139.304,1.65794,-0.582108,31.608986139297485,-7.470996797084808,4.65758,13.130000114440918,,,,,,,959.2,6.437583892,959.2,6.437583892,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Corbin Carroll","ARI",146,629,548,141,77,26,11,26,102,85,67,3,134,9,4,2,,33,7,0.256668,0.105757,0.213469,0.495422,0.344399,0.488411,0.356023,0.83281,0.231743,8.21647,0.292506,2.11618,2.86588,96.2851,21.9478,128.488,4.98206,4.75747,26.22426986694336,-1.785743236541748,4.64128,14.100000381469727,,,,,,,895.2,6.131506849,895.2,6.131506849,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
