Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dan Altavilla","MIN",2,2,0,4.42327,42,0,0,1,,42,183,41,22,21,5,20,,2,37,8.01843,4.28601,1.87084,1.071,0.202866,0.108436,0.09442982822656631,0.253465,1.45608,0.301429,0.718231,,,4.47795,-0.00933625,-0.0413993,999,,,,,,,154.70000000000002,3.6833333333333336,157,3.738095238095238,,,,,,,,,,,,,,,,,,,"Dan Altavilla","16507",656186
"Tyler Samaniego","BOS",1,1,0,4.39324,28,0,0,1,,28,122,28,15,14,3,12,,1,24,7.61671,3.87699,1.9646,1.107,0.193126,0.0983033,0.094822958111763,0.259329,1.4441,0.303019,0.721079,,,4.46545,-0.00959513,-0.0216586,999,,,,,,,110.50000000000001,3.946428571428572,114,4.071428571428571,,,,,,,,,,,,,,,,,,,"Tyler Samaniego","sa3017876",701719
"Génesis Cabrera","PHI",1,1,0,4.35641,18,0,0,1,,18,78,17,9,9,3,8,,1,16,8.2795,3.99023,2.07494,1.295,0.212048,0.102194,0.10985324531793594,0.246224,1.3918,0.288565,0.73295,,,4.62518,-0.00960171,0.00671976,999,,,,,,,61.10000000000001,3.394444444444445,60,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Seth Martinez","BOS",1,1,0,4.75988,12,0,0,1,,12,53,12,7,6,2,5,,1,10,7.37061,3.58569,2.05556,1.301,0.185741,0.09036,0.09538064897060394,0.262224,1.43655,0.298312,0.705653,,,4.72698,-0.00971786,-0.0261563,999,,,,,,,39.000000000000014,3.2500000000000013,40,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Seth Martinez","21045",661527
"Joey Gerber","NYM",1,1,0,4.2387,12,0,0,1,,12,51,11,6,6,2,4,,1,11,8.478,3.39227,2.49921,1.31,0.219204,0.0877093,0.13149462640285492,0.243318,1.32058,0.285982,0.731429,,,4.40055,-0.00998861,-0.00703471,999,,,,,,,46.600000000000016,3.8833333333333346,45,3.75,,,,,,,,,,,,,,,,,,,"Joey Gerber","24591",680702
"Brent Suter","LAA",3,3,0,4.29165,60,0,0,11,,60,260,63,31,29,8,19,,2,48,7.10669,2.85648,2.48792,1.254,0.182879,0.0735069,0.1093723475933075,0.264785,1.36598,0.299966,0.727474,,,4.44008,-0.0101534,0.015806,999,,,,,,,258.8,4.3133333333333335,273,4.55,,,,,,,,,,,,,,,,,,,"Brent Suter","13942",608718
"Luis Curvelo","TEX",2,2,0,4.52922,40,0,0,1,,40,173,39,21,20,6,17,,2,35,7.93967,3.76621,2.10813,1.308,0.202285,0.0959548,0.1063304916024208,0.251995,1.39991,0.291615,0.720006,,,4.65936,-0.0101922,-0.0531919,999,,,,,,,137.79999999999998,3.4449999999999994,139,3.475,,,,,,,,,,,,,,,,,,,"Luis Curvelo","24710",681168
"Wilber Dotel","PIT",1,1,0,4.44902,14,0,0,1,,14,61,14,7,7,2,5,,1,12,7.62933,3.50922,2.17408,1.212,0.194804,0.0896029,0.10520098358392715,0.254815,1.38677,0.294291,0.715111,,,4.50883,-0.0102122,0.00446157,999,,,,,,,52.6,3.757142857142857,54,3.857142857142857,,,,,,,,,,,,,,,,,,,"Wilber Dotel","sa3015163",696062
"Cade Gibson","MIA",2,2,0,4.09478,40,0,0,1,,40,174,41,20,18,4,16,,2,31,7.10831,3.57712,1.98716,0.935,0.180947,0.091058,0.08988864719867706,0.261004,1.41737,0.303929,0.723773,,,4.27785,-0.010254,0.00762783,999,,,,,,,152.20000000000002,3.8050000000000006,160,4,,,,,,,,,,,,,,,,,,,"Cade Gibson","31815",806188
"Chase Shugart","PHI",2,2,0,4.51897,38,0,0,1,,38,164,38,20,19,6,15,,1,31,7.45206,3.51086,2.12258,1.347,0.191021,0.089995,0.1010262742638588,0.255502,1.38787,0.289706,0.720985,,,4.71319,-0.0103646,-0.0154647,999,,,,,,,126.59999999999998,3.3315789473684205,130,3.4210526315789473,,,,,,,,,,,,,,,,,,,"Chase Shugart","21544",663767
"Tyler Mattison","DET",0,1,0,4.4479,10,0,0,1,,10,43,9,5,5,1,5,,0,9,8.42062,4.45959,1.88821,1.206,0.212572,0.112578,0.09999307990074158,0.243859,1.43899,0.289168,0.726752,,,4.60334,-0.0105034,-0.00498147,999,,,,,,,45.300000000000004,4.53,44,4.4,,,,,,,,,,,,,,,,,,,"Tyler Mattison","sa3018117",694331
"Prelander Berroa","CHW",1,2,0,4.33546,31,0,0,1,,31,135,28,16,15,4,16,,1,31,9.13929,4.74071,1.92783,1.247,0.231122,0.119887,0.11123497039079666,0.237426,1.43558,0.288082,0.740081,,,4.60291,-0.0111228,-0.0232478,999,,,,,,,122.39999999999999,3.9483870967741934,118,3.806451612903226,,,,,,,,,,,,,,,,,,,"Prelander Berroa","22932",672860
"Garrett Hawkins","SDP",1,1,0,4.20915,30,0,0,1,,30,128,27,15,14,4,13,,1,29,8.81171,3.8839,2.26878,1.248,0.22695,0.100032,0.12691828608512878,0.239815,1.35291,0.28731,0.734887,,,4.39593,-0.0114308,-0.0157215,999,,,,,,,122.60000000000001,4.086666666666667,118,3.933333333333333,,,,,,,,,,,,,,,,,,,"Garrett Hawkins","sa3017383",678184
"Blas Castaño","SEA",0,0,0,4.08716,9,0,0,1,,9,38,9,4,4,1,3,,1,7,6.77129,2.77303,2.44184,1.115,0.175149,0.0717283,0.10342036187648773,0.257621,1.31909,0.291036,0.720317,,,4.35481,-0.011749,0.00182704,999,,,,,,,36.90000000000001,4.100000000000001,38,4.222222222222222,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
